Log file created at 2014-05-02-20:22:04 GMT
1399062143.436080: Logging started
1399062143.440627: Bump switch monitoring active
1399062143.444716: executed: pan_15500, tilt_14500
1399062143.470257: executed: motor_stop
1399062146.371580: executed: start_cameras
1399062159.734964: executed: pan_15500, tilt_14469
1399062159.738229: executed: pan_15500, tilt_14362
1399062159.744027: executed: pan_15500, tilt_14254
1399062159.746590: executed: pan_15500, tilt_14082
1399062159.750527: executed: pan_15500, tilt_13996
1399062159.755257: executed: pan_15500, tilt_13888
1399062159.761360: executed: pan_15500, tilt_13716
1399062159.765418: executed: pan_15500, tilt_13608
1399062159.766822: executed: pan_15500, tilt_13393
1399062159.770270: executed: pan_15500, tilt_13264
1399062159.774359: executed: pan_15500, tilt_13092
1399062159.778723: executed: pan_15500, tilt_12920
1399062159.782507: executed: pan_15500, tilt_12748
1399062159.786291: executed: pan_15500, tilt_12576
1399062159.790349: executed: pan_15500, tilt_12500
1399062159.930262: executed: pan_15500, tilt_12662
1399062159.934412: executed: pan_15500, tilt_12834
1399062159.938257: executed: pan_15500, tilt_13006
1399062159.942468: executed: pan_15500, tilt_13286
1399062159.946954: executed: pan_15500, tilt_13608
1399062159.950646: executed: pan_15500, tilt_13953
1399062159.955254: executed: pan_15500, tilt_14254
1399062159.958214: executed: pan_15500, tilt_14500
1399062160.006214: executed: pan_15500, tilt_14509
1399062160.010090: executed: pan_15500, tilt_14724
1399062160.014087: executed: pan_15500, tilt_14961
1399062160.018207: executed: pan_15500, tilt_15219
1399062160.022601: executed: pan_15500, tilt_15499
1399062160.026354: executed: pan_15500, tilt_15779
1399062160.030260: executed: pan_15500, tilt_16058
1399062160.034410: executed: pan_15500, tilt_16381
1399062160.038682: executed: pan_15500, tilt_16500
1399062160.214237: executed: pan_15678, tilt_16500
1399062160.218082: executed: pan_15667, tilt_16124
1399062160.222079: executed: pan_15577, tilt_14836
1399062160.226626: executed: pan_15500, tilt_14500
1399062160.230288: executed: pan_15500, tilt_14254
1399062160.234560: executed: pan_15500, tilt_14500
1399062160.345727: executed: pan_15500, tilt_14340
1399062160.350427: executed: pan_15500, tilt_14017
1399062160.350732: executed: pan_15500, tilt_13716
1399062160.361473: executed: pan_15500, tilt_13393
1399062160.364189: executed: pan_15500, tilt_12985
1399062160.364341: executed: pan_15157, tilt_12596
1399062160.364403: executed: pan_14892, tilt_12500
1399062160.451066: executed: pan_14937, tilt_12978
1399062160.455247: executed: pan_15463, tilt_14417
1399062160.458542: executed: pan_15500, tilt_14509
1399062160.462082: executed: pan_15500, tilt_14832
1399062160.466171: executed: pan_15500, tilt_14500
1399062160.590673: executed: pan_15500, tilt_14509
1399062160.595098: executed: pan_15570, tilt_14793
1399062160.598699: executed: pan_15772, tilt_15125
1399062160.600316: executed: pan_16144, tilt_15567
1399062160.602361: executed: pan_16769, tilt_16161
1399062160.634463: executed: pan_17243, tilt_16500
1399062160.694212: executed: pan_17243, tilt_16444
1399062160.698209: executed: pan_17068, tilt_15723
1399062160.702176: executed: pan_15500, tilt_14500
1399062160.706021: executed: pan_15455, tilt_14396
1399062160.710049: executed: pan_15500, tilt_14500
